INCIDENTNU,INCIDENTNA,INCIDENTTY,FIREDATE,FINANCIALY,FIREYEAR,SEASON,DATERELIAB,SHAPE_Leng,SHAPE_Area,hecter2,REGION,shape_le_1,shape_ar_1,hect3,region_code
0,,Bushfire,12/31/1951,1951/1952,1951,SUMMER,4,290.3423007,1421.632817,0,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,4,363.1545495,6035.445513,1,Southern Adelaide,1.935123865,0.186929454,231644,1
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,6,139.1954999,1152.275444,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,6,6316.362499,1950560.504,195,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,6,252.0453904,715.9519365,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,6,16703.42874,5847149.286,585,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1952,1952/1953,1952,SUMMER,7,4308.208359,485631.0487,49,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/5/1953,1953/1954,1953,SUMMER,5,2144.110631,152317.9914,15,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/5/1953,1953/1954,1953,SUMMER,5,95493.06555,19877317.06,1988,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/5/1953,1953/1954,1953,SUMMER,6,10239.50374,972277.5485,97,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/5/1953,1953/1954,1953,SUMMER,9,3204.403829,82671.34176,8,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/5/1953,1953/1954,1953,SUMMER,9,23427.34777,6572726.441,657,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/11/1953,1953/1954,1953,SUMMER,7,60231.95452,20623401.23,2062,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/11/1953,1953/1954,1953,SUMMER,7,1753.507161,86532.87195,9,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/11/1953,1953/1954,1953,SUMMER,7,287.7776958,1070.588236,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/11/1953,1953/1954,1953,SUMMER,7,113.0396659,269.860125,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/11/1953,1953/1954,1953,SUMMER,7,263.6959818,3406.921084,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,7,7705.022283,615473.4561,62,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,7,47.2919334,26.85143005,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,7,2801.183823,262260.7789,26,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1324.199276,1718.624784,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1092.074875,44060.51104,4,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,823.3619412,2539.554509,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,3019.042472,421492.2043,42,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1421.169154,36944.90657,4,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,8897.182437,463971.0995,46,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1788.388545,120658.8304,12,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,495.74188,11448.35061,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,771.1864655,14343.56098,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,5138.311854,263413.3081,26,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,3858.377924,455357.9983,46,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,5348.742364,915483.8212,92,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,975.1163899,37595.8394,4,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1641.237647,78574.99619,8,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,2920.232152,188303.8522,19,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,438.3075597,8496.903966,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,362.7037692,6.891550439,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,460.6897221,7962.90845,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,238.5930862,10.87040653,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,238.7786184,6.508489552,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,138.8884173,5.944185003,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,215.4353437,3.823838021,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,137.5590739,3.290184566,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,99.45758948,5.689068465,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,3.187623153,0.320702999,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,258.1444223,505.5632463,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,4151.978558,181956.8259,18,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,11494.57603,4932362.649,493,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,335.1483359,4883.681452,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,312.692729,3848.908816,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,819.7948901,32538.58803,3,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,489.3902665,13778.80892,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,342.4201983,5723.387743,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,316.2148806,3178.31022,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,3932.839915,380211.1558,38,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,557.5768531,539.8835745,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,3118.520566,214356.3576,21,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,117.3067392,7.296766458,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,3695.441237,175185.2048,18,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,394.9839532,4331.681521,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1028.612531,193.5024662,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,309.6904832,28.66205899,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,159.9559737,16.19196008,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,149.7920995,35.26683608,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,2273.726562,204692.9936,20,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,697.6647026,62.20472695,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,274.0213071,18.63753192,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,2482.777805,199591.7968,20,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,3671.881126,564216.2384,56,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1959.080518,227745.3104,23,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,33.99051659,21.73814048,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,291.1124885,3058.561288,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,13192.00014,3750755.489,375,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,472.2487281,12238.41901,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,7373.957933,820111.205,82,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1.710641436,0.083572501,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,182.3096799,973.833126,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,160.7672458,488.2861219,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,447.0907683,5418.857125,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,79.16346937,168.502997,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,11.33351435,1.384058487,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,955.2334278,49837.76186,5,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,524.595082,9113.122655,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,594.3974221,20771.13231,2,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,270.902401,2543.255733,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,483.5687066,37.27286526,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1467.258539,28282.40279,3,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,438.2788749,11275.03039,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,328.9770237,4645.405746,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,292.2733846,192.745987,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1173.004783,55278.05358,6,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,254.3654498,2322.315614,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,447.6360725,7748.696467,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,200.809052,1902.166225,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,134.1857681,1009.677914,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,644.9160131,21917.97935,2,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,2848.899333,111514.2209,11,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,118.7983572,505.8472135,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1045.124533,52439.48255,5,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,791.4938847,24948.42574,2,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,372.9510017,6814.33157,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,249.3161359,3705.136132,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,265.7323247,2836.359997,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1797.821902,118143.0769,12,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,322.2653772,6208.166091,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,138.2794323,681.4266895,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,153.6291787,924.1246211,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,625.4620228,15403.27305,2,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,481.989472,11184.42569,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,2691.283213,208761.5312,21,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,186.1275454,676.3796985,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,1157.795453,23754.49173,2,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,623.7754734,14998.20958,1,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,232.870383,742.081868,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,328.7747327,1940.128239,0,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,21235.79278,2558331.709,256,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,71635.94225,15185392.07,1519,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,9271.855445,756560.3688,76,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/14/1953,1953/1954,1953,SUMMER,9,18510.74652,6938273.947,694,Eyre and Western,38.56274375,24.81323519,30748633,5
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,2460.213463,22968.35922,2,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,0.973812552,0.0165675,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,61.83791977,91.84377695,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,1632.125528,41649.80778,4,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,199.5394579,785.3045204,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,2978.058849,104519.6509,10,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,278.9879832,1877.821428,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,76.00326677,151.443192,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,24762.63687,6045020.399,605,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,2469.02936,261437.1813,26,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,612.57127,21942.17856,2,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,73.98981354,186.6870471,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,19581.69304,3203614.429,320,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,21985.77316,10430321.99,1043,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,133.2283673,668.616233,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,117.9281654,835.3756735,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,13566.98802,2383790.273,238,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,25411.82003,4783892.954,478,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,505.3741867,628.8253388,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,5546.420701,473566.005,47,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,30.3324736,37.92908399,0,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,5476.037994,689911.0131,69,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,1209.830917,48218.3175,5,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
0,,Bushfire,12/31/1953,1953/1954,1953,SUMMER,5,6906.720369,2041028.512,204,Fleurieu and Kangaroo Island,8.17388618,1.534161513,908263,8
