Year,Month,Date,Region,Temp,Above 35,Burnoff,Hectares burned,Region Hectares,Hectare Percent Burnt,Bushfire,Severe Bushfire
1961,11,1/11/1961,1,23.6,1,0,0,460481,0,0,0
1961,12,1/12/1961,1,25.9,2,0,0,460481,0,0,0
1962,1,1/01/1962,1,28.1,3,0,0,460481,0,0,0
1962,2,1/02/1962,1,27.1,3,0,0,460481,0,0,0
1962,3,1/03/1962,1,25.6,0,0,0,460481,0,0,0
1962,4,1/04/1962,1,22.8,0,0,79,460481,0.017155974,1,0
1962,5,1/05/1962,1,17.0,0,0,0,460481,0,0,0
1962,6,1/06/1962,1,17.0,0,0,0,460481,0,0,0
1962,7,1/07/1962,1,15.8,0,0,0,460481,0,0,0
1962,8,1/08/1962,1,15.7,0,0,0,460481,0,0,0
1962,9,1/09/1962,1,18.5,0,0,0,460481,0,0,0
1962,10,1/10/1962,1,19.8,0,0,0,460481,0,0,0
1962,11,1/11/1962,1,25.1,4,0,0,460481,0,0,0
1962,12,1/12/1962,1,24.5,1,0,0,460481,0,0,0
1963,1,1/01/1963,1,27.0,2,0,0,460481,0,0,0
1963,2,1/02/1963,1,27.3,2,0,0,460481,0,0,0
1963,3,1/03/1963,1,24.8,0,0,0,460481,0,0,0
1963,4,1/04/1963,1,21.4,0,0,0,460481,0,0,0
1963,5,1/05/1963,1,17.3,0,0,0,460481,0,0,0
1963,6,1/06/1963,1,15.5,0,0,0,460481,0,0,0
1963,7,1/07/1963,1,13.8,0,0,0,460481,0,0,0
1963,8,1/08/1963,1,15.5,0,0,0,460481,0,0,0
1963,9,1/09/1963,1,18.8,0,0,0,460481,0,0,0
1963,10,1/10/1963,1,22.3,0,0,0,460481,0,0,0
1963,11,1/11/1963,1,24.6,1,0,0,460481,0,0,0
1963,12,1/12/1963,1,26.4,2,0,0,460481,0,0,0
1964,1,1/01/1964,1,26.1,4,0,0,460481,0,0,0
1964,2,1/02/1964,1,25.0,0,0,0,460481,0,0,0
1964,3,1/03/1964,1,24.7,1,0,0,460481,0,0,0
1964,4,1/04/1964,1,21.4,0,0,0,460481,0,0,0
1964,5,1/05/1964,1,18.4,0,0,0,460481,0,0,0
1964,6,1/06/1964,1,15.8,0,0,0,460481,0,0,0
1964,7,1/07/1964,1,15.0,0,0,0,460481,0,0,0
1964,8,1/08/1964,1,15.5,0,0,0,460481,0,0,0
1964,9,1/09/1964,1,17.9,0,0,0,460481,0,0,0
1964,10,1/10/1964,1,18.9,0,0,0,460481,0,0,0
1964,11,1/11/1964,1,23.3,0,0,0,460481,0,0,0
1964,12,1/12/1964,1,21.1,0,0,0,460481,0,0,0
1965,1,1/01/1965,1,26.2,3,0,0,460481,0,0,0
1965,2,1/02/1965,1,28.5,4,0,0,460481,0,0,0
1965,3,1/03/1965,1,25.6,3,0,0,460481,0,0,0
1965,4,1/04/1965,1,19.9,0,0,0,460481,0,0,0
1965,5,1/05/1965,1,18.6,0,0,0,460481,0,0,0
1965,6,1/06/1965,1,16.1,0,0,0,460481,0,0,0
1965,7,1/07/1965,1,14.2,0,0,0,460481,0,0,0
1965,8,1/08/1965,1,15.9,0,0,0,460481,0,0,0
1965,9,1/09/1965,1,18.6,0,0,0,460481,0,0,0
1965,10,1/10/1965,1,22.8,0,0,0,460481,0,0,0
1965,11,1/11/1965,1,23.3,0,0,0,460481,0,0,0
1965,12,1/12/1965,1,28.2,4,0,0,460481,0,0,0
1966,1,1/01/1966,1,29.3,4,0,0,460481,0,0,0
1966,2,1/02/1966,1,26.3,0,0,13,460481,0.002823135,1,0
1966,3,1/03/1966,1,25.3,3,0,0,460481,0,0,0
1966,4,1/04/1966,1,21.1,0,0,0,460481,0,0,0
1966,5,1/05/1966,1,17.8,0,0,0,460481,0,0,0
1966,6,1/06/1966,1,16.1,0,0,0,460481,0,0,0
1966,7,1/07/1966,1,13.8,0,0,0,460481,0,0,0
1966,8,1/08/1966,1,15.1,0,0,0,460481,0,0,0
1966,9,1/09/1966,1,17.3,0,0,0,460481,0,0,0
1966,10,1/10/1966,1,19.7,0,0,0,460481,0,0,0
1966,11,1/11/1966,1,24.7,2,0,0,460481,0,0,0
1966,12,1/12/1966,1,24.4,3,0,0,460481,0,0,0
1967,1,1/01/1967,1,25.5,1,0,0,460481,0,0,0
1967,2,1/02/1967,1,29.3,6,0,0,460481,0,0,0
1967,3,1/03/1967,1,25.3,0,0,0,460481,0,0,0
1967,4,1/04/1967,1,24.6,0,0,0,460481,0,0,0
1967,5,1/05/1967,1,19.9,0,0,0,460481,0,0,0
1967,6,1/06/1967,1,18.0,0,0,0,460481,0,0,0
1967,7,1/07/1967,1,15.8,0,0,0,460481,0,0,0
1967,8,1/08/1967,1,15.7,0,0,0,460481,0,0,0
1967,9,1/09/1967,1,18.8,0,0,0,460481,0,0,0
1967,10,1/10/1967,1,23.4,0,0,0,460481,0,0,0
1967,11,1/11/1967,1,25.1,2,0,0,460481,0,0,0
1967,12,1/12/1967,1,25.4,3,0,0,460481,0,0,0
1968,1,1/01/1968,1,31.0,10,0,0,460481,0,0,0
1968,2,1/02/1968,1,30.5,8,0,0,460481,0,0,0
1968,3,1/03/1968,1,26.4,2,0,0,460481,0,0,0
1968,4,1/04/1968,1,23.6,0,0,0,460481,0,0,0
1968,5,1/05/1968,1,16.9,0,0,0,460481,0,0,0
1968,6,1/06/1968,1,15.1,0,0,0,460481,0,0,0
1968,7,1/07/1968,1,13.7,0,0,0,460481,0,0,0
1968,8,1/08/1968,1,14.5,0,0,0,460481,0,0,0
1968,9,1/09/1968,1,17.3,0,0,0,460481,0,0,0
1968,10,1/10/1968,1,21.2,0,0,0,460481,0,0,0
1968,11,1/11/1968,1,21.7,0,0,0,460481,0,0,0
1968,12,1/12/1968,1,25.4,4,0,0,460481,0,0,0
1969,1,1/01/1969,1,30.5,9,0,0,460481,0,0,0
1969,2,1/02/1969,1,26.3,3,0,0,460481,0,0,0
1969,3,1/03/1969,1,24.6,1,0,0,460481,0,0,0
1969,4,1/04/1969,1,22.4,0,0,0,460481,0,0,0
1969,5,1/05/1969,1,17.8,0,0,0,460481,0,0,0
1969,6,1/06/1969,1,15.4,0,0,0,460481,0,0,0
1969,7,1/07/1969,1,15.9,0,0,0,460481,0,0,0
1969,8,1/08/1969,1,17.1,0,0,0,460481,0,0,0
1969,9,1/09/1969,1,15.9,0,0,0,460481,0,0,0
1969,10,1/10/1969,1,22.5,0,0,0,460481,0,0,0
1969,11,1/11/1969,1,23.7,1,0,0,460481,0,0,0
1969,12,1/12/1969,1,23.5,1,0,0,460481,0,0,0
1970,1,1/01/1970,1,26.1,5,0,0,460481,0,0,0
1970,2,1/02/1970,1,29.4,5,0,4,460481,0.000868657,1,0
1970,3,1/03/1970,1,24.8,0,0,0,460481,0,0,0
1970,4,1/04/1970,1,22.8,0,0,0,460481,0,0,0
1970,5,1/05/1970,1,17.6,0,0,0,460481,0,0,0
1970,6,1/06/1970,1,16.6,0,0,0,460481,0,0,0
1970,7,1/07/1970,1,15.1,0,0,0,460481,0,0,0
1970,8,1/08/1970,1,14.3,0,0,0,460481,0,0,0
1970,9,1/09/1970,1,15.9,0,0,0,460481,0,0,0
1970,10,1/10/1970,1,20.5,0,0,0,460481,0,0,0
1970,11,1/11/1970,1,23.6,0,0,0,460481,0,0,0
1970,12,1/12/1970,1,25.7,5,0,0,460481,0,0,0
1971,1,1/01/1971,1,27.6,6,0,0,460481,0,0,0
1971,2,1/02/1971,1,29.3,5,0,0,460481,0,0,0
1971,3,1/03/1971,1,28.2,0,0,0,460481,0,0,0
1971,4,1/04/1971,1,24.1,0,0,0,460481,0,0,0
1971,5,1/05/1971,1,17.7,0,0,0,460481,0,0,0
1971,6,1/06/1971,1,15.1,0,0,0,460481,0,0,0
1971,7,1/07/1971,1,14.7,0,0,0,460481,0,0,0
1971,8,1/08/1971,1,15.0,0,0,0,460481,0,0,0
1971,9,1/09/1971,1,17.3,0,0,0,460481,0,0,0
1971,10,1/10/1971,1,20.1,0,0,0,460481,0,0,0
1971,11,1/11/1971,1,21.1,0,0,0,460481,0,0,0
1971,12,1/12/1971,1,24.5,2,0,325,460481,0.070578373,1,0
1972,1,1/01/1972,1,26.8,0,0,0,460481,0,0,0
1972,2,1/02/1972,1,28.5,6,0,0,460481,0,0,0
1972,3,1/03/1972,1,24.6,0,0,0,460481,0,0,0
1972,4,1/04/1972,1,23.7,0,0,0,460481,0,0,0
1972,5,1/05/1972,1,20.3,0,0,0,460481,0,0,0
